Income,Hometown,Attendance,Overall
3,1,2,3.35
8,0,2,3.467
5,1,2,3.72
0,0,2,3.75
5,1,2,3.94
5,1,3,1.0
0,1,1,1.06
8,0,2,1.25
4,0,3,1.44
6,0,3,1.5
5,1,3,1.56
8,1,3,1.57
5,1,1,1.57
8,1,1,1.6
3,1,3,1.62
6,0,3,1.69
5,1,1,1.71
5,1,1,1.72
0,1,1,1.75
0,1,1,1.75
3,1,1,1.75
5,0,2,1.8
5,0,1,1.86
8,1,1,1.88
8,0,1,1.89
8,0,3,1.9
0,1,3,1.9
3,1,1,1.92
5,0,1,1.97
5,0,1,2.0
3,1,1,2.0
4,1,1,2.02
5,1,1,2.1
0,1,3,2.1
5,0,1,2.1
0,1,0,2.17
8,0,0,2.17
3,0,0,2.17
8,1,0,2.17
8,0,1,2.2
5,1,1,2.22
0,1,0,2.25
0,1,1,2.25
8,1,0,2.25
5,1,0,2.25
0,1,1,2.28
0,1,0,2.3
1,0,1,2.3
5,0,0,2.31
5,1,0,2.31
0,1,0,2.31
8,1,1,2.33
0,1,0,2.33
5,1,0,2.33
8,0,0,2.33
0,0,0,2.35
5,1,0,2.35
0,1,0,2.35
5,1,0,2.38
8,1,0,2.38
0,0,0,2.38
0,1,0,2.38
5,1,1,2.41
5,1,0,2.44
5,0,0,2.44
5,0,2,2.45
5,1,1,2.45
5,0,1,2.47
3,0,2,2.5
5,0,1,2.5
1,1,0,2.5
5,1,1,2.53
0,0,2,2.55
8,1,1,2.55
0,0,0,2.56
5,1,0,2.56
5,1,0,2.56
3,1,2,2.58
1,1,0,2.64
3,1,0,2.69
0,1,0,2.69
6,0,0,2.69
1,0,0,2.69
3,1,1,2.7
5,0,1,2.7
8,0,1,2.7
5,1,2,2.75
5,0,2,2.75
5,1,2,2.75
5,1,1,2.75
1,0,1,2.75
5,1,1,2.75
5,0,1,2.75
8,0,1,2.75
8,0,1,2.75
3,0,1,2.75
0,0,1,2.75
0,0,1,2.75
8,0,1,2.75
4,1,1,2.75
5,1,1,2.75
5,0,1,2.75
8,1,1,2.75
7,1,1,2.75
4,1,1,2.75
8,0,1,2.75
0,1,1,2.75
0,0,1,2.75
0,0,1,2.75
0,0,1,2.75
8,1,1,2.75
5,1,1,2.75
5,0,1,2.75
1,1,1,2.75
8,0,1,2.79
5,1,1,2.81
3,1,1,2.81
6,1,1,2.84
8,1,1,2.84
0,1,1,2.84
8,0,1,2.84
5,1,1,2.846
5,1,1,2.86
5,0,1,2.88
5,0,1,2.88
5,0,1,2.88
5,0,1,2.88
5,0,1,2.88
5,0,1,2.89
8,1,1,2.89
5,0,1,2.89
5,1,1,2.89
5,0,1,2.89
0,1,1,2.89
0,1,1,2.89
3,1,1,2.9
0,1,0,2.9
5,0,0,2.9
1,1,0,2.9
0,1,0,2.9
8,0,0,2.9
5,1,0,2.9
1,1,0,2.9
5,1,0,2.9
0,0,0,2.9
2,1,0,2.9
8,0,0,2.9
0,1,0,2.9
1,0,0,2.9
5,1,0,2.9
5,1,0,2.9
5,1,0,2.9
5,0,0,2.9
5,0,0,2.9
0,1,1,2.92
1,1,0,2.94
3,1,1,2.94
5,1,1,2.94
2,1,1,2.94
5,1,1,2.98
0,0,2,3.0
5,1,2,3.0
8,0,1,3.0
8,0,2,3.0
5,1,2,3.0
1,1,1,3.0
1,0,1,3.0
1,0,1,3.0
8,0,1,3.0
6,0,1,3.0
1,1,0,3.06
8,1,0,3.06
0,0,0,3.06
5,1,2,3.07
5,1,2,3.08
5,1,1,3.08
8,1,1,3.08
8,1,1,3.08
3,1,1,3.08
8,0,1,3.08
8,1,1,3.08
5,0,1,3.08
0,0,1,3.08
4,1,1,3.08
0,1,1,3.08
3,1,1,3.08
3,1,2,3.09
3,1,2,3.1
5,1,1,3.1
3,1,2,3.11
3,1,2,3.13
0,0,2,3.13
5,0,2,3.13
8,1,2,3.13
3,1,1,3.15
3,0,1,3.15
0,0,1,3.15
1,0,1,3.15
1,0,1,3.15
1,1,1,3.15
8,0,1,3.15
8,1,2,3.16
5,0,1,3.19
5,1,1,3.19
5,0,1,3.19
8,1,1,3.19
8,0,1,3.21
8,1,2,3.22
5,0,2,3.25
3,0,2,3.25
3,1,2,3.25
3,1,1,3.25
8,0,0,3.25
5,0,0,3.25
5,0,0,3.25
8,1,1,3.25
5,1,2,3.25
5,1,2,3.25
8,0,0,3.25
8,0,0,3.25
0,1,1,3.25
0,0,0,3.25
8,1,0,3.25
4,1,0,3.25
8,1,0,3.25
0,0,1,3.25
8,0,0,3.25
3,1,1,3.25
3,1,1,3.25
5,0,1,3.25
3,1,1,3.25
5,1,1,3.25
0,1,1,3.25
5,1,1,3.25
4,1,1,3.25
5,0,1,3.25
8,1,1,3.25
8,1,1,3.25
8,1,2,3.26
3,1,2,3.27
8,0,1,3.27
8,0,1,3.27
1,0,1,3.27
0,0,1,3.27
5,1,1,3.27
1,1,1,3.27
5,1,2,3.28
8,1,1,3.3
8,1,1,3.3
0,0,1,3.31
0,0,1,3.31
5,0,1,3.31
0,0,1,3.31
5,1,2,3.32
1,1,1,3.32
5,1,2,3.33
5,0,1,3.33
8,1,1,3.33
5,1,2,3.33
5,1,1,3.33
8,0,1,3.33
1,0,1,3.33
5,0,1,3.33
0,1,1,3.33
5,0,1,3.33
4,1,1,3.33
8,0,1,3.33
0,1,1,3.35
8,1,2,3.37
5,0,1,3.38
8,1,1,3.38
1,1,1,3.38
5,0,1,3.38
5,0,1,3.38
8,1,1,3.38
5,1,1,3.38
5,1,1,3.38
3,1,2,3.39
5,1,2,3.39
8,1,2,3.43
0,0,2,3.44
3,1,1,3.44
0,1,1,3.44
0,0,1,3.44
3,0,1,3.44
5,0,1,3.44
8,1,1,3.45
8,1,1,3.46
5,0,2,3.48
0,0,0,3.5
5,0,2,3.5
5,1,2,3.5
3,1,2,3.5
0,1,2,3.5
5,1,2,3.5
8,0,2,3.5
5,0,2,3.5
0,0,2,3.5
1,0,2,3.5
8,1,2,3.5
4,1,2,3.5
8,1,2,3.5
0,1,2,3.5
0,0,1,3.5
8,1,1,3.5
3,1,1,3.5
5,1,1,3.5
4,1,1,3.5
0,0,1,3.5
5,0,1,3.5
5,1,2,3.54
5,1,2,3.55
5,1,2,3.55
3,1,1,3.56
9,1,1,3.56
5,1,1,3.56
0,1,1,3.56
5,0,1,3.56
8,1,1,3.56
4,1,1,3.56
0,1,1,3.56
0,0,1,3.56
1,0,1,3.56
0,0,1,3.56
3,1,2,3.6
0,0,1,3.6
3,1,1,3.6
5,0,1,3.6
1,1,1,3.6
8,0,2,3.61
8,0,2,3.62
5,0,1,3.63
5,0,1,3.63
5,1,2,3.64
1,0,1,3.64
3,1,2,3.65
8,0,2,3.65
0,0,2,3.67
8,0,1,3.67
8,1,1,3.67
0,1,1,3.67
8,1,2,3.67
8,0,1,3.67
0,1,2,3.67
4,1,1,3.67
0,0,1,3.67
4,0,1,3.67
0,0,2,3.68
3,1,2,3.69
5,1,2,3.69
8,1,2,3.7
8,0,2,3.7
5,0,1,3.7
8,0,1,3.7
3,1,2,3.7
5,1,1,3.7
1,0,1,3.7
1,1,1,3.7
0,0,1,3.7
0,0,2,3.7
3,1,2,3.7
5,1,2,3.7
3,1,2,3.71
8,1,2,3.71
1,1,2,3.71
8,1,2,3.71
3,1,2,3.74
5,1,2,3.74
8,1,2,3.74
8,1,2,3.74
5,0,2,3.74
5,1,2,3.74
0,1,2,3.74
1,0,2,3.74
0,0,2,3.74
1,1,2,3.74
5,1,2,3.75
3,1,2,3.75
3,1,1,3.75
5,0,2,3.75
8,1,2,3.75
8,1,2,3.75
1,1,2,3.75
5,0,2,3.75
8,0,2,3.75
0,1,2,3.75
5,0,2,3.75
0,0,2,3.75
5,0,2,3.75
1,0,2,3.75
5,0,2,3.75
8,0,2,3.76
8,1,2,3.78
8,0,2,3.78
0,1,2,3.78
5,1,2,3.8
5,0,2,3.8
8,1,2,3.8
0,0,2,3.8
3,1,2,3.8
5,1,2,3.81
5,0,2,3.81
8,0,2,3.81
5,1,2,3.81
5,0,2,3.81
5,0,2,3.81
0,0,2,3.81
5,0,2,3.81
0,1,2,3.84
5,0,2,3.87
5,1,2,3.88
3,0,2,3.88
1,1,2,3.88
5,0,2,3.88
0,0,2,3.88
3,1,2,3.88
5,0,2,3.88
5,1,2,3.89
3,1,2,3.91
0,1,2,3.93
0,0,2,3.94
8,0,2,3.94
5,0,2,3.94
5,1,2,3.94
8,1,2,3.94
8,1,2,3.94
2,1,2,3.94
0,0,2,3.94
5,1,2,3.94
8,0,2,3.94
8,1,2,3.94
0,1,2,3.94
5,0,2,3.94
8,1,2,3.95
5,0,2,3.96
5,0,2,3.98
8,0,1,4.0
0,0,2,4.0
3,1,2,4.0
3,1,2,4.0
3,0,2,4.0
0,0,2,4.0
0,0,2,4.0
5,1,2,4.0
5,0,2,4.0
5,1,2,4.0
5,0,2,4.0
8,1,2,4.0
5,1,2,3.7
3,1,1,3.74
0,0,2,3.75
5,1,2,4.0
5,0,2,2.97
8,0,1,3.15
5,1,2,3.32
8,0,1,3.33
5,1,1,3.45
5,1,2,3.47
3,1,2,3.47
3,0,2,3.56
8,1,2,3.6
5,1,2,3.68
5,0,2,3.74
0,0,2,3.75
5,0,2,3.8
5,1,2,3.83
5,1,2,3.93
8,0,0,2.25
8,0,1,2.5
3,1,2,3.0
5,1,2,3.09
5,1,2,3.17
5,1,1,3.5
3,1,2,3.5
0,1,2,3.5
8,0,2,3.6
3,0,2,3.67
8,0,2,3.78
5,0,2,3.8
5,0,2,4.0
3,1,2,3.69
5,1,1,3.79
8,0,2,2.85
0,0,3,3.31
3,0,2,3.56
5,1,2,3.68
0,1,2,3.88
5,1,2,3.94
5,1,0,3.1
8,0,1,3.67
5,0,0,3.56
3,1,2,3.75
5,1,2,3.86
